Month	Location	Units In	Inbound Revenue	Units Out	Outbound Revenue	1st of Storage Rev	Reoccurring Units	Reoccurring Storage Rev	Accesorial Charges	Handling Revenue	Total Revenue	Fixed Cost	Forklift Cost	Warehouse Supplies	Total Variable Cost	Number ManHours	Hourly Labor Cost	Management Cost	Total Labor Cost	Total Cost	Margin	Margin %
Jan-25	5TH STREET	2317	$11,782.20 	1365	$67.50 	$27,055.14 	2317	$11,331.15 	$562.50 	$0.00 	$50,798.49 	$43,337.98 	$1,119.68 	$2,239.36 	$3,359.05 	461.75	$6,344.86 	$3,230.14 	$9,575.00 	$56,272.02 	($5,473.53)	-10.77%
Jan-25	5TH 3109	328	$820.00 	370	$925.00 	$17,640.00 	0	$0.00 	$192.00 	$0.00 	$19,577.00 	$14,414.59 	$372.42 	$744.83 	$1,117.25 	16	$329.12 	$646.03 	$975.15 	$16,506.98 	$3,070.02 	15.68%
Jan-25	501 FRESNO	651	$3,281.40 	677	$0.00 	$15,472.80 	651	$3,067.65 	$0.00 	$0.00 	$21,821.85 	$11,902.24 	$307.51 	$615.01 	$922.52 	126.25	$2,583.18 	$2,454.90 	$5,038.09 	$17,862.85 	$3,959.00 	18.14%
Jan-25	1400 S 6TH	520	$2,704.00 	557	$0.00 	$49,870.17 	0	$0.00 	$0.00 	$0.00 	$52,574.17 	$46,792.45 	$1,208.93 	$2,417.86 	$3,626.80 	463.5	$5,822.60 	$6,201.86 	$12,024.46 	$62,443.71 	($9,869.54)	-18.77%
Jan-25	1300 S 6TH	31	$83.70 	767	$2,070.90 	$7,636.44 	0	$0.00 	$2,249.50 	$0.00 	$12,040.54 	$3,140.43 	$81.14 	$162.27 	$243.41 	104.5	$2,149.57 	$0.00 	$2,149.57 	$5,533.41 	$6,507.13 	54.04%
Jan-25	NISSAN	10030	$82,781.60 	9558	$3,392.00 	$60,136.44 	0	$0.00 	$28,051.14 	$0.00 	$189,642.07 	$44,374.32 	$1,338.75 	$2,677.50 	$4,016.25 	4,168.00	$66,799.52 	$25,388.87 	$92,188.39 	$140,578.96 	$46,901.75 	19.37%
Jan-25	NEWLON RD	423	$4,788.00 	1278	$0.00 	$73,356.78 	0	$0.00 	$450.00 	$0.00 	$78,594.78 	$52,602.25 	$1,359.03 	$2,718.07 	$4,077.10 	1,035.00	$19,600.71 	$7,235.50 	$26,836.22 	$83,515.58 	($4,920.80)	-6.26%
Jan-25	PLANTERS ROAD	252	$95.01 	374	$559.16 	$8,850.45 	0	$0.00 	$3,837.50 	$0.00 	$13,342.12 	$13,535.27 	$349.70 	$699.40 	$1,049.09 	0	$0.00 	$5,168.22 	$5,168.22 	$19,752.58 	($6,410.46)	-48.05%
Jan-25	4414 WHEELER	0	$0.00 	0	$0.00 	$34,186.74 	0	$0.00 	$0.00 	$0.00 	$34,186.74 	$18,151.70 	$468.97 	$937.94 	$1,406.90 	0	$0.00 	$0.00 	$0.00 	$19,558.61 	$14,628.13 	42.79%
Jan-25	415 S 5TH	0	$0.00 	0	$0.00 	$8,113.56 	0	$0.00 	$0.00 	$0.00 	$8,113.56 	$7,442.83 	$0.00 	$0.00 	$0.00 	0	$0.00 	$0.00 	$0.00 	$7,442.83 	$670.73 	8.27%
Jan-25	AYERS ROAD	161	$837.20 	8977	$9,425.85 	$20,618.22 	0	$0.00 	$0.00 	$0.00 	$30,881.27 	$14,131.95 	$365.11 	$730.23 	$1,095.34 	295.25	$6,598.82 	$0.00 	$6,598.82 	$21,826.11 	$9,055.16 	29.32%
Jan-25	SONOCO	0	$0.00 	5636	$34,290.78 	$0.00 	0	$0.00 	$0.00 	$0.00 	$24,290.78 	$0.00 	$1,429.00 	$714.50 	$1,954.50 	882.25	$13,398.91 	$1,615.07 	$15,013.97 	$16,968.47 	$17,322.31 	50.52%
Jan-25	VAN BUREN	1273	$3,556.77 	603	$1,622.07 	$26,708.22 	0	$0.00 	$0.00 	$0.00 	$31,887.06 	$16,330.25 	$423.53 	$847.06 	$1,270.60 	267.5	$2,021.68 	$5,555.83 	$7,577.52 	$25,178.36 	$6,708.70 	21.04%
Jan-25	3333 ZERO	154	$708.40 	237	$0.00 	$24,576.93 	0	$0.00 	$0.00 	$0.00 	$25,285.33 	$14,979.87 	$387.02 	$774.04 	$1,161.06 	229.25	$1,212.72 	$6,460.27 	$7,672.99 	$23,813.92 	$1,471.41 	5.82%
